ts	strategy	turns	trial	turn_index	is_final	expected	actual	exit_code	completed	input_tokens	cached_input_tokens	output_tokens	delta_input_tokens	note	thread_id
2026-02-11T08:08:33Z	baseline	100	1	0	false	STORED	STORED	0	true	19084	3456	162		init_turn	019c4bbe-b843-7a11-b898-1cf54ec72d37
2026-02-11T08:08:33Z	baseline	100	1	1	false	ACK_1	ACK_1	0	true	45828	22400	251	26744	ok	019c4bbe-b843-7a11-b898-1cf54ec72d37
2026-02-11T08:08:33Z	baseline	100	1	2	false	ACK_2	ACK_2	0	true	80232	49024	317	34404	ok	019c4bbe-b843-7a11-b898-1cf54ec72d37
2026-02-11T08:08:33Z	baseline	100	1	3	false	ACK_3	ACK_3	0	true	122296	83328	361	42064	ok	019c4bbe-b843-7a11-b898-1cf54ec72d37
2026-02-11T08:08:33Z	baseline	100	1	4	false	ACK_4	ACK_4	0	true	172020	125312	399	49724	ok	019c4bbe-b843-7a11-b898-1cf54ec72d37
2026-02-11T08:08:33Z	baseline	100	1	5	false	ACK_5	ACK_5	0	true	229404	174976	461	57384	ok	019c4bbe-b843-7a11-b898-1cf54ec72d37
2026-02-11T08:08:33Z	baseline	100	1	6	false	ACK_6	ACK_6	0	true	294448	232320	555	65044	ok	019c4bbe-b843-7a11-b898-1cf54ec72d37
2026-02-11T08:08:33Z	baseline	100	1	7	false	ACK_7	ACK_7	0	true	367152	297344	603	72704	ok	019c4bbe-b843-7a11-b898-1cf54ec72d37
2026-02-11T08:08:33Z	baseline	100	1	8	false	ACK_8	ACK_8	0	true	447516	369920	670	80364	ok	019c4bbe-b843-7a11-b898-1cf54ec72d37
2026-02-11T08:08:33Z	baseline	100	1	9	false	ACK_9	ACK_9	0	true	535540	450176	751	88024	ok	019c4bbe-b843-7a11-b898-1cf54ec72d37
2026-02-11T08:08:33Z	baseline	100	1	10	false	ACK_10	ACK_10	0	true	631224	538112	782	95684	ok	019c4bbe-b843-7a11-b898-1cf54ec72d37
2026-02-11T08:08:33Z	baseline	100	1	11	false	ACK_11	ACK_11	0	true	734568	633728	805	103344	ok	019c4bbe-b843-7a11-b898-1cf54ec72d37
2026-02-11T08:08:33Z	baseline	100	1	12	false	ACK_12	ACK_12	0	true	845572	737024	892	111004	ok	019c4bbe-b843-7a11-b898-1cf54ec72d37
2026-02-11T08:08:33Z	baseline	100	1	13	false	ACK_13	ACK_13	0	true	964236	848000	950	118664	ok	019c4bbe-b843-7a11-b898-1cf54ec72d37
2026-02-11T08:08:33Z	baseline	100	1	14	false	ACK_14	ACK_14	0	true	1090560	966528	957	126324	ok	019c4bbe-b843-7a11-b898-1cf54ec72d37
2026-02-11T08:08:33Z	baseline	100	1	15	false	ACK_15	ACK_15	0	true	1224544	1092736	1018	133984	ok	019c4bbe-b843-7a11-b898-1cf54ec72d37
2026-02-11T08:08:33Z	baseline	100	1	16	false	ACK_16	ACK_16	0	true	1366188	1226624	1083	141644	ok	019c4bbe-b843-7a11-b898-1cf54ec72d37
2026-02-11T08:08:33Z	baseline	100	1	17	false	ACK_17	ACK_17	0	true	1515492	1368192	1176	149304	ok	019c4bbe-b843-7a11-b898-1cf54ec72d37
2026-02-11T08:08:33Z	baseline	100	1	18	false	ACK_18	ACK_18	0	true	1672456	1517440	1183	156964	ok	019c4bbe-b843-7a11-b898-1cf54ec72d37
2026-02-11T08:08:33Z	baseline	100	1	19	false	ACK_19	ACK_19	0	true	1837080	1674368	1190	164624	ok	019c4bbe-b843-7a11-b898-1cf54ec72d37
2026-02-11T08:08:33Z	baseline	100	1	20	false	ACK_20	ACK_20	0	true	2009364	1838976	1299	172284	ok	019c4bbe-b843-7a11-b898-1cf54ec72d37
2026-02-11T08:08:33Z	baseline	100	1	21	false	ACK_21	ACK_21	0	true	2189308	2011136	1426	179944	ok	019c4bbe-b843-7a11-b898-1cf54ec72d37
2026-02-11T08:08:33Z	baseline	100	1	22	false	ACK_22	ACK_22	0	true	2376912	2190976	1508	187604	ok	019c4bbe-b843-7a11-b898-1cf54ec72d37
2026-02-11T08:08:33Z	baseline	100	1	23	false	ACK_23	ACK_23	0	true	2572176	2378496	1515	195264	ok	019c4bbe-b843-7a11-b898-1cf54ec72d37
2026-02-11T08:08:33Z	baseline	100	1	24	false	ACK_24	ACK_24	0	true	2775100	2573696	1619	202924	ok	019c4bbe-b843-7a11-b898-1cf54ec72d37
2026-02-11T08:08:33Z	baseline	100	1	25	false	ACK_25	ACK_25	0	true	2985684	2776576	1676	210584	ok	019c4bbe-b843-7a11-b898-1cf54ec72d37
2026-02-11T08:08:33Z	baseline	100	1	26	false	ACK_26	ACK_26	0	true	3203928	2987136	1794	218244	ok	019c4bbe-b843-7a11-b898-1cf54ec72d37
2026-02-11T08:08:33Z	baseline	100	1	27	false	ACK_27	ACK_27	0	true	3429832	3205248	1833	225904	ok	019c4bbe-b843-7a11-b898-1cf54ec72d37
2026-02-11T08:08:33Z	baseline	100	1	28	false	ACK_28	ACK_28	0	true	3663396	3431040	1840	233564	ok	019c4bbe-b843-7a11-b898-1cf54ec72d37
2026-02-11T08:08:33Z	baseline	100	1	29	false	ACK_29		0	true	3904620	3664512	1848	241224	ok	019c4bbe-b843-7a11-b898-1cf54ec72d37
