ts	strategy	turns	trial	turn_index	is_final	expected	actual	exit_code	completed	input_tokens	cached_input_tokens	output_tokens	delta_input_tokens	note	thread_id
2026-02-11T08:14:33Z	recap	100	1	0	false	STORED	STORED	0	true	19084	18816	178		init_turn	019c4bc4-38b2-75f3-b2f8-cbdb155a4815
2026-02-11T08:14:33Z	recap	100	1	1	false	ACK_1	ACK_1	0	true	45828	37632	319	26744	ok	019c4bc4-38b2-75f3-b2f8-cbdb155a4815
2026-02-11T08:14:33Z	recap	100	1	2	false	ACK_2	ACK_2	0	true	80232	64256	430	34404	ok	019c4bc4-38b2-75f3-b2f8-cbdb155a4815
2026-02-11T08:14:33Z	recap	100	1	3	false	ACK_3	ACK_3	0	true	122296	98560	516	42064	ok	019c4bc4-38b2-75f3-b2f8-cbdb155a4815
2026-02-11T08:14:33Z	recap	100	1	4	false	ACK_4	ACK_4	0	true	172020	140544	648	49724	ok	019c4bc4-38b2-75f3-b2f8-cbdb155a4815
2026-02-11T08:14:33Z	recap	100	1	5	false	ACK_5	ACK_5	0	true	229404	190208	796	57384	ok	019c4bc4-38b2-75f3-b2f8-cbdb155a4815
2026-02-11T08:14:33Z	recap	100	1	6	false	ACK_6	ACK_6	0	true	294448	247552	856	65044	ok	019c4bc4-38b2-75f3-b2f8-cbdb155a4815
2026-02-11T08:14:33Z	recap	100	1	7	false	ACK_7	ACK_7	0	true	367152	312576	895	72704	ok	019c4bc4-38b2-75f3-b2f8-cbdb155a4815
2026-02-11T08:14:33Z	recap	100	1	8	false	ACK_8	ACK_8	0	true	447516	385152	920	80364	ok	019c4bc4-38b2-75f3-b2f8-cbdb155a4815
2026-02-11T08:14:33Z	recap	100	1	9	false	ACK_9	ACK_9	0	true	535540	465408	1039	88024	ok	019c4bc4-38b2-75f3-b2f8-cbdb155a4815
2026-02-11T08:14:33Z	recap	100	1	10	false	ACK_10	ACK_10	0	true	631253	553344	1095	95713	ok	019c4bc4-38b2-75f3-b2f8-cbdb155a4815
2026-02-11T08:14:33Z	recap	100	1	11	false	ACK_11	ACK_11	0	true	734626	648960	1161	103373	ok	019c4bc4-38b2-75f3-b2f8-cbdb155a4815
2026-02-11T08:14:33Z	recap	100	1	12	false	ACK_12	ACK_12	0	true	845659	752256	1284	111033	ok	019c4bc4-38b2-75f3-b2f8-cbdb155a4815
2026-02-11T08:14:33Z	recap	100	1	13	false	ACK_13	ACK_13	0	true	964352	863232	1320	118693	ok	019c4bc4-38b2-75f3-b2f8-cbdb155a4815
2026-02-11T08:14:33Z	recap	100	1	14	false	ACK_14	ACK_14	0	true	1090705	981888	1327	126353	ok	019c4bc4-38b2-75f3-b2f8-cbdb155a4815
2026-02-11T08:14:33Z	recap	100	1	15	false	ACK_15	ACK_15	0	true	1224718	1108224	1382	134013	ok	019c4bc4-38b2-75f3-b2f8-cbdb155a4815
2026-02-11T08:14:33Z	recap	100	1	16	false	ACK_16	ACK_16	0	true	1366391	1242112	1471	141673	ok	019c4bc4-38b2-75f3-b2f8-cbdb155a4815
2026-02-11T08:14:33Z	recap	100	1	17	false	ACK_17	ACK_17	0	true	1515724	1383680	1478	149333	ok	019c4bc4-38b2-75f3-b2f8-cbdb155a4815
2026-02-11T08:14:33Z	recap	100	1	18	false	ACK_18	ACK_18	0	true	1672717	1532928	1501	156993	ok	019c4bc4-38b2-75f3-b2f8-cbdb155a4815
2026-02-11T08:14:33Z	recap	100	1	19	false	ACK_19	ACK_19	0	true	1837370	1689856	1587	164653	ok	019c4bc4-38b2-75f3-b2f8-cbdb155a4815
2026-02-11T08:14:33Z	recap	100	1	20	false	ACK_20	ACK_20	0	true	2009712	1854464	1636	172342	ok	019c4bc4-38b2-75f3-b2f8-cbdb155a4815
2026-02-11T08:14:33Z	recap	100	1	21	false	ACK_21	ACK_21	0	true	2189714	2026752	1716	180002	ok	019c4bc4-38b2-75f3-b2f8-cbdb155a4815
2026-02-11T08:14:33Z	recap	100	1	22	false	ACK_22	ACK_22	0	true	2377376	2206720	1723	187662	ok	019c4bc4-38b2-75f3-b2f8-cbdb155a4815
2026-02-11T08:14:33Z	recap	100	1	23	false	ACK_23	ACK_23	0	true	2572698	2394368	1730	195322	ok	019c4bc4-38b2-75f3-b2f8-cbdb155a4815
2026-02-11T08:14:33Z	recap	100	1	24	false	ACK_24	ACK_24	0	true	2775680	2589568	1737	202982	ok	019c4bc4-38b2-75f3-b2f8-cbdb155a4815
2026-02-11T08:14:33Z	recap	100	1	25	false	ACK_25	ACK_25	0	true	2986322	2792448	1760	210642	ok	019c4bc4-38b2-75f3-b2f8-cbdb155a4815
